# Complete? set of english prepositions
a
a la
à la
A.
a.
A.K.A.
ab
ab.
abaat
abaft
abaht
abaout
abeam
ablow
aboard
aboon
aboot
about
aboutes
abouts
above
above and beyond
abowt
abreast
abroad
absent
abt.
abun
abune
accd'g to
according to
across
across from
acrosst
acrost
ad
adjacent
adjacent to
adown
affor
afoor
afore
afront
aftah
after
afther
aftre
again
againest
against
agaynest
agaynst
ageinest
ageinst
agen
agenest
agenst
ageynest
ageynst
agin
aginst
ago
agyen
ahead of
ahind
ahint
ahn
ajax
AKA
aka
ala
alang
alangst
all along
all over
all up with
along
along about
along of
along the lines of
alongest
alongside
alongst
aloof
alow
amid
amiddest
amiddst
amidest
amidst
among
amonge
amongest
amongst
amoung
amoungest
amoungst
amyddest
amyddst
amydst
an
anear
anearst
anenst
anent
anigh
anighst
anti
aout
ap.
apart
apart from
apres
après
aprés
apropos
apropos of
apud
around
arter
as
as against
as for
as of
as opposed to
as per
as regards
as soon as
as to
as well as
ascr.
aside from
aslant
astern of
astride
at
at peace with
at the expense of
at the feet of
at the hand of
at the hands of
athwart
atop
atween
atwix
awaye
ayein
ayen
ayond
ayont
B4
bang on
bar
barring
bating
because
because of
befo
befo'
befoir
befor
before
befure
behind
behinde
behine
behither
belong
below
ben
beneath
beneathe
benorth
beside
besides
besyde
bet
betune
between
betweene
betwene
betwixen
betwixt
betwyxt
bewest
beyant
beyond
b'low
'bout
bout
bove
but
but for
by
by dint of
by means of
by virtue of
bye
came
care of
'cept
chez
circa
close by
close to
closeby
come
complete with
concerning
considering
contra
contrary to
courtesy of
cross
cum
c̄
d'
dahn
dba
dehors
despight
despite
doon
doone
dot
down
down to
downe
due to
dureing
during
emforth
emong
emongst
en
endlong
erbout
ere
ever since
except
except for
excepting
excluding
exept
F/B/O
f/k/a
failing
faw
FBO
fer
ferninst
fo
fo'
following
for
for all
for sake of
for the love of
for the sake of
forby
forbye
foreanent
foreby
foregain
foregainst
forenenst
fornenst
fornent
forth
from
from off
frome
fromward
fromwards
froward
fur
furth
gain
'gainst
gainst
gainward
given
going on
gone
half
half past
hard by
hoff
imbetween
imell
in
in advance of
in aid of
in back of
in bed with
in behalf of
in between
in case of
in face of
in favor of
in favour of
in front of
in keeping with
in lieu of
in light of
in love with
in place of
in re
in relation to
in respect of
in right of
in spite of
in terms of
in the event of
in the eyes of
in the face of
in the light of
in the middle of
in the midst of
in the process of
in the teeth of
in the thick of
in the throws of
in the wake of
in the way of
in view of
in virtue of
inbetween
inbetwixt
including
inmid
inmiddes
inside
instead of
intiv
into
inwith
just like
less
like
like unto
'long
longa
'longst
machiam
mang
mauger
maugre
meets
mid
'midst
midst
minus
modulo
'mong
mong
'mongst
near
nearer
nearest
nearhand
'neath
neath
next
next door
next to
nigh
notwithstanding
nought withstanding
nought-withstanding
noughtwithstanding
nr
o
o'
O for
o'er
of
off
off of
offa
ohn
on
on account of
on behalf of
on or about
on the back of
on the heels of
on the order of
on the other side of
on the point of
on this side of
on to
on top of
onto
ontop
opposite
or
orf
other than
out
out of
outa
oute
outen
outside
outside of
outta
outtake
outtaken
outwith
over
over and above
over to
overthwart
ower
owing to
pace
par
past
pending
per
'pon
pon
post
pre
prior to
pro
qua
quoad
rather than
re
regarding
regardless
regardless of
rel
rising
roun'
'round
round
s/p
sans
sauf
save
saving
sence
short
since
sithence
spite
sub
such as
t'
ta
take away
ter
than
thanks to
thanne
thoo
thorough
thorow
thro
thro'
through
throughe
throughout
thru
thrue
thruout
'til
til
till
times
to
to do with
to the power of
to-ward
tofore
together with
toward
towards
twell
'twixt
twixt
U
U
U.
um
umb
umbe
under
underneath
unincluding
unlike
unnear
until
untill
unto
up
up against
up for
up till
up to
up until
upon
upon the heels of
uppon
upside
uptill
upto
uv
v.
versus
via
viâ
vice
vid
vis-a-vis
vis-à-vis
vis-á-vis
vith
vnder
vnto
vor
vpon
vppon
vrom
VS
vs
vs.
vytin
w.r.t.
w/r/t
wanting
what with
whith
whiz
wi
wi'
wid
widout
wif
wired into
wit
wit'
with
with an eye towards
with regard to
with respect to
withal
within
withinside
without
withoute
withoutside
wiv
wiz
WRT
wrt
wuth
wyth
wythoute
wythowt
wythowte
